file,sku,uid,status,message
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR047R/EP047R.jpg,EP047R,41159467,OK,"{
    ""image_id"": ""6a635f97e39ee1f370306558"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635f97e39ee1f370306558"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635f97e39ee1f370306558""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR047L.jpg,EPR047L,41159493,OK,"{
    ""image_id"": ""6a635f9be39ee13371306530"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635f9be39ee13371306530"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635f9be39ee13371306530""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR047R.jpg,EPR047R,41159494,OK,"{
    ""image_id"": ""6a635f9fe39ee14671306514"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635f9fe39ee14671306514"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635f9fe39ee14671306514""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR070L.jpg,EPR070L,41159495,OK,"{
    ""image_id"": ""6a635fa3e39ee1c970306533"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fa3e39ee1c970306533"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fa3e39ee1c970306533""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR070R.jpg,EPR070R,41159496,OK,"{
    ""image_id"": ""6a635faae39ee135703065de"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635faae39ee135703065de"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635faae39ee135703065de""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR071L.jpg,EPR071L,41159497,OK,"{
    ""image_id"": ""6a635fb1e39ee13371306540"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fb1e39ee13371306540"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fb1e39ee13371306540""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR071R.jpg,EPR071R,41159498,OK,"{
    ""image_id"": ""6a635fb7e39ee1ee7030653f"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fb7e39ee1ee7030653f"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fb7e39ee1ee7030653f""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR073L.jpg,EPR073L,41159499,OK,"{
    ""image_id"": ""6a635fbee39ee13471306527"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fbee39ee13471306527"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fbee39ee13471306527""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR073R.jpg,EPR073R,41159500,OK,"{
    ""image_id"": ""6a635fc1e39ee1547130651e"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fc1e39ee1547130651e"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fc1e39ee1547130651e""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR090L.jpg,EPR090L,41159501,OK,"{
    ""image_id"": ""6a635fc5e39ee1c470306585"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fc5e39ee1c470306585"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fc5e39ee1c470306585""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR090R.jpg,EPR090R,41159502,OK,"{
    ""image_id"": ""6a635fc8e39ee13b71306524"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fc8e39ee13b71306524"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fc8e39ee13b71306524""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR098L.jpg,EPR098L,41159503,OK,"{
    ""image_id"": ""6a635fcde39ee1f37030656a"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fcde39ee1f37030656a"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fcde39ee1f37030656a""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR098R.jpg,EPR098R,41159504,OK,"{
    ""image_id"": ""6a635fd1e39ee135703065f3"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fd1e39ee135703065f3"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fd1e39ee135703065f3""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR105L.jpg,EPR105L,41159506,OK,"{
    ""image_id"": ""6a635fd7e39ee1467130652c"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fd7e39ee1467130652c"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fd7e39ee1467130652c""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR105R.jpg,EPR105R,41159507,OK,"{
    ""image_id"": ""6a635fdcbe7ea018ac64627a"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fdcbe7ea018ac64627a"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fdcbe7ea018ac64627a""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR111L.jpg,EPR111L,41159508,OK,"{
    ""image_id"": ""6a635fe4be7ea04ac86461ba"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fe4be7ea04ac86461ba"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fe4be7ea04ac86461ba""
}"
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/DISCHI/EPTA STAGE 0/EPR111R.jpg,EPR111R,41159509,OK,"{
    ""image_id"": ""6a635fece39ee1af71306517"",
    ""thumbnail"": ""https:\/\/cdn.storeden.net\/secache\/6a635fece39ee1af71306517"",
    ""original"": ""https:\/\/egress.storeden.net\/gallery\/6a635fece39ee1af71306517""
}"
