file,sku,uid,status,message
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/200CM44.jpg,200CM44,41158734,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM88/218CM88.jpg,218CM88,41158740,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/220CM55.jpg,220CM55,41158743,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/222CM55.jpg,222CM55,41158745,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/223CM55.jpg,223CM55,41158746,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/224CM55.jpg,224CM55,41158747,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/225CM55.jpg,225CM55,41158748,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/228CM56.jpg,228CM56,41158751,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/612CM56.jpg,612CM56,41158752,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/613CM55.jpg,613CM55,41158754,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/613CM56.jpg,613CM56,41158755,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/622SM1.jpg,622SM1,41158759,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/644SM1.jpg,644SM1,41158760,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/645SM1.jpg,645SM1,41158761,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/646SM1.jpg,646SM1,41158762,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/669CM44.jpg,669CM44,41158769,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/679SM1.jpg,679SM1,41158773,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/681SM1.jpg,681SM1,41158775,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/683SM1.jpg,683SM1,41158776,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/686CM44.jpg,686CM44,41158779,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM46/686CM46.jpg,686CM46,41158780,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/687SM1.jpg,687SM1,41158782,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/688CM55.jpg,688CM55,41158783,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM66/688CM66.jpg,688CM66,41158784,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/696CM44.jpg,696CM44,41158789,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/696CM56.jpg,696CM56,41158790,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/698CM56.jpg,698CM56,41158792,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/698SM1.jpg,698SM1,41158793,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/700CM44.jpg,700CM44,41158794,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/700SM1.jpg,700SM1,41158795,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/701CM44.jpg,701CM44,41158796,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM46/701CM46.jpg,701CM46,41158797,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/702CM44.jpg,702CM44,41158799,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/703CM44.jpg,703CM44,41158801,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/704CM55.jpg,704CM55,41158803,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/704SM1.jpg,704SM1,41158804,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM44/705CM44.jpg,705CM44,41158805,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/705SM1.jpg,705SM1,41158806,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/707CM55.jpg,707CM55,41158807,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/709SM1.jpg,709SM1,41158809,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM56/711CM56.jpg,711CM56,41158810,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/712SM1.jpg,712SM1,41158812,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/715CM55.jpg,715CM55,41158813,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/CM55/716CM55.jpg,716CM55,41158815,DRY_RUN_OK,
/Users/anna.nardi/Library/CloudStorage/OneDrive-Raccoltecondivise-DuckyNetworkS.r.l/E-Commerce - FOTO PRODOTTO 2019_2022_2023_2024_2025/PASTIGLIE/SM1/717SM1.jpg,717SM1,41158817,DRY_RUN_OK,
