sku,nome_prodotto,brand,categoria
1159.04.1244,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
1872.04.2428,KIT REPLACEMENT,BRAKI,REPLACEMENT#ALL#REP
226CM55,PAD SINTERED,BRAKI,PADS#ON ROAD#CHALLENGE#CM55
227CM56,PAD SINTERED,BRAKI,PADS#ON ROAD#CHALLENGE#CM56
AC004,BRAKE SWITCHES,BRAKI,REPLACEMENT#ALL#REP
B1220D,BRAKE DISK WAVE FIX REAR,BRAKI,REPLACEMENT#ALL#REP
B55617,DRIVE SPROCKET 530-17,BRAKI,SPROCKET#ON ROAD#URBAN#P-DRIVE
B57015,DRIVE SPROCKET 530-15,BRAKI,SPROCKET#ON ROAD#URBAN#P-DRIVE
BY1501,BRAKE DISK BATFLY SERIES REAR,BRAKI,DISKS#ON ROAD#RACING#BFRE
BY4127E,EPTA DISK BATFLY FRONT AL-HUB Ø270,BRAKI,DISKS#OFF ROAD#RACING#EPTA BATFLY OFF ROAD
BY4132E,EPTA DISK BATFLY FRONT AL-HUB Ø280,BRAKI,DISKS#OFF ROAD#RACING#EPTA BATFLY OFF ROAD
BY709R,BRAKE DISK BATFLY FLOATING AL-HUB Ø320,BRAKI,DISKS#ON ROAD#RACING#BATFLY STRADA
BY9004R,BRAKE DISK WAVE FIX BATFLY,BRAKI,DISKS#ATV#RACING#BATFLY
BY9006R,BRAKE DISK WAVE FIX BATFLY,BRAKI,DISKS#ATV#RACING#BATFLY
BY9009L,BRAKE DISK WAVE FIX BATFLY,BRAKI,DISKS#ATV#RACING#BATFLY
BY9020L,BRAKE DISK WAVE FIX BATFLY,BRAKI,DISKS#ATV#RACING#BATFLY
BY9021L,BRAKE DISK WAVE FIX BATFLY,BRAKI,DISKS#ATV#RACING#BATFLY
BY9021R,BRAKE DISK WAVE FIX BATFLY,BRAKI,DISKS#ATV#RACING#BATFLY
CAC26F,CALIPER BICYCLE FRONT 26 mm INCAS,BRAKI,CALIPERS & BRACKETS#BICI#RACING#BICYCLE CALIPER
CAC26R,CALIPER BICYCLE REAR 26 mm INCAS,BRAKI,CALIPERS & BRACKETS#BICI#RACING#BICYCLE CALIPER
